#date,holiday,observed_note
2020/1/1,New Year's Day,actual
2020/1/20,"Birthday of Martin Luther King, Jr.",actual
2020/2/17,Washington's Birthday,actual
2020/5/25,Memorial Day,actual
2020/7/3,Independence Day,observed (shifted from Sat to Fri)
2020/9/7,Labor Day,actual
2020/10/12,Columbus Day,actual
2020/11/11,Veterans Day,actual
2020/11/26,Thanksgiving Day,actual
2020/12/25,Christmas Day,actual
2021/1/1,New Year's Day,actual
2021/1/18,"Birthday of Martin Luther King, Jr.",actual
2021/2/15,Washington's Birthday,actual
2021/5/31,Memorial Day,actual
2021/6/18,Juneteenth National Independence Day,observed (shifted from Sat to Fri)
2021/7/5,Independence Day,observed (shifted from Sun to Mon)
2021/9/6,Labor Day,actual
2021/10/11,Columbus Day,actual
2021/11/11,Veterans Day,actual
2021/11/25,Thanksgiving Day,actual
2021/12/24,Christmas Day,observed (shifted from Sat to Fri)
2021/12/31,New Year's Day,observed (shifted from Sat to Fri)
2022/1/17,"Birthday of Martin Luther King, Jr.",actual
2022/2/21,Washington's Birthday,actual
2022/5/30,Memorial Day,actual
2022/6/20,Juneteenth National Independence Day,observed (shifted from Sun to Mon)
2022/7/4,Independence Day,actual
2022/9/5,Labor Day,actual
2022/10/10,Columbus Day,actual
2022/11/11,Veterans Day,actual
2022/11/24,Thanksgiving Day,actual
2022/12/26,Christmas Day,observed (shifted from Sun to Mon)
2023/1/2,New Year's Day,observed (shifted from Sun to Mon)
2023/1/16,"Birthday of Martin Luther King, Jr.",actual
2023/2/20,Washington's Birthday,actual
2023/5/29,Memorial Day,actual
2023/6/19,Juneteenth National Independence Day,actual
2023/7/4,Independence Day,actual
2023/9/4,Labor Day,actual
2023/10/9,Columbus Day,actual
2023/11/10,Veterans Day,observed (shifted from Sat to Fri)
2023/11/23,Thanksgiving Day,actual
2023/12/25,Christmas Day,actual
2024/1/1,New Year's Day,actual
2024/1/15,"Birthday of Martin Luther King, Jr.",actual
2024/2/19,Washington's Birthday,actual
2024/5/27,Memorial Day,actual
2024/6/19,Juneteenth National Independence Day,actual
2024/7/4,Independence Day,actual
2024/9/2,Labor Day,actual
2024/10/14,Columbus Day,actual
2024/11/11,Veterans Day,actual
2024/11/28,Thanksgiving Day,actual
2024/12/25,Christmas Day,actual
2025/1/1,New Year's Day,actual
2025/1/20,"Birthday of Martin Luther King, Jr.",actual
2025/2/17,Washington's Birthday,actual
2025/5/26,Memorial Day,actual
2025/6/19,Juneteenth National Independence Day,actual
2025/7/4,Independence Day,actual
2025/9/1,Labor Day,actual
2025/10/13,Columbus Day,actual
2025/11/11,Veterans Day,actual
2025/11/27,Thanksgiving Day,actual
2025/12/25,Christmas Day,actual
2026/1/1,New Year's Day,actual
2026/1/19,"Birthday of Martin Luther King, Jr.",actual
2026/2/16,Washington's Birthday,actual
2026/5/25,Memorial Day,actual
2026/6/19,Juneteenth National Independence Day,actual
2026/7/3,Independence Day,observed (shifted from Sat to Fri)
2026/9/7,Labor Day,actual
2026/10/12,Columbus Day,actual
2026/11/11,Veterans Day,actual
2026/11/26,Thanksgiving Day,actual
2026/12/25,Christmas Day,actual
2027/1/1,New Year's Day,actual
2027/1/18,"Birthday of Martin Luther King, Jr.",actual
2027/2/15,Washington's Birthday,actual
2027/5/31,Memorial Day,actual
2027/6/18,Juneteenth National Independence Day,observed (shifted from Sat to Fri)
2027/7/5,Independence Day,observed (shifted from Sun to Mon)
2027/9/6,Labor Day,actual
2027/10/11,Columbus Day,actual
2027/11/11,Veterans Day,actual
2027/11/25,Thanksgiving Day,actual
2027/12/24,Christmas Day,observed (shifted from Sat to Fri)
2027/12/31,New Year's Day,observed (shifted from Sat to Fri)
2028/1/17,"Birthday of Martin Luther King, Jr.",actual
2028/2/21,Washington's Birthday,actual
2028/5/29,Memorial Day,actual
2028/6/19,Juneteenth National Independence Day,actual
2028/7/4,Independence Day,actual
2028/9/4,Labor Day,actual
2028/10/9,Columbus Day,actual
2028/11/10,Veterans Day,observed (shifted from Sat to Fri)
2028/11/23,Thanksgiving Day,actual
2028/12/25,Christmas Day,actual
2029/1/1,New Year's Day,actual
2029/1/15,"Birthday of Martin Luther King, Jr.",actual
2029/2/19,Washington's Birthday,actual
2029/5/28,Memorial Day,actual
2029/6/19,Juneteenth National Independence Day,actual
2029/7/4,Independence Day,actual
2029/9/3,Labor Day,actual
2029/10/8,Columbus Day,actual
2029/11/12,Veterans Day,observed (shifted from Sun to Mon)
2029/11/22,Thanksgiving Day,actual
2029/12/25,Christmas Day,actual
2030/1/1,New Year's Day,actual
2030/1/21,"Birthday of Martin Luther King, Jr.",actual
2030/2/18,Washington's Birthday,actual
2030/5/27,Memorial Day,actual
2030/6/19,Juneteenth National Independence Day,actual
2030/7/4,Independence Day,actual
2030/9/2,Labor Day,actual
2030/10/14,Columbus Day,actual
2030/11/11,Veterans Day,actual
2030/11/28,Thanksgiving Day,actual
2030/12/25,Christmas Day,actual
